name,team,battingStyle,bowlingStyle,playingRole,image
KhaleelAhmed,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/8.png
TabraizShamsi,Royals,Right hand Bat,Left arm Wrist spin,Bowler,
TimDavid,RCB,Right hand Bat,Right arm Offbreak,Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/636.png
WaninduHasaranga,RCB,Right hand Bat,Legbreak,Allrounder,https://scores.iplt20.com/ipl/playerimages/Wanindu%20Hasaranga.png?v=4
NavdeepSaini,RCB,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2023/207.png
IshanPorel,Punjab Kings,Right hand Bat,Right arm Medium,Bowler,
AdilRashid,Punjab Kings,Right hand Bat,Legbreak,Bowler,
SachinBaby,RCB,Left hand Bat,Right arm Offbreak,Batter,
AnmolpreetSingh,Mumbai,Right hand Bat,Right arm Offbreak,Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/159.png
PrabhsimranSingh,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/137.png
DawidMalan,Punjab Kings,Left hand Bat,Legbreak,Top order Batter,
IshantSharma,Capitals,Right hand Bat,Right arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/50.png
RileyMeredith,Punjab Kings,Right hand Bat,Right arm Fast,Bowler,
JosButtler,Royals,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/182.png
JonnyBairstow,Sunrisers,Right hand Bat,Right arm Medium,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/216.png
VijayShankar,Sunrisers,Right hand Bat,Right arm Medium,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/61.png
DhawalKulkarni,Mumbai,Right hand Bat,Right arm Medium,Bowler,
LungiNgidi,Super Kings,Right hand Bat,Right arm Fast medium,Bowler,
RajatPatidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/597.png
DanielSams,RCB,Right hand Bat,Left arm Fast medium,Allrounder,https://scores.iplt20.com/ipl/playerimages/Daniel%20Sams.png?v=4
PatCummins,KKR,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/33.png
JagadeeshaSuchith,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler,https://scores.iplt20.com/ipl/playerimages/Jagadeesha%20Suchith.png?v=4
WashingtonSundar,RCB,Left hand Bat,Right arm Offbreak,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/20.png
AmitMishra,Capitals,Right hand Bat,Legbreak,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/107.png
ImranTahir,Super Kings,Right hand Bat,Legbreak Googly,Bowler,
MananVohra,Royals,Right hand Bat,Right arm Medium,Opening Batter,https://scores.iplt20.com/ipl/playerimages/Manan%20Vohra.png?v=4
KaneRichardson,RCB,Right hand Bat,Right arm Fast medium,Bowler,
KamleshNagarkoti,KKR,Right hand Bat,Right arm Fast,Bowler,https://scores.iplt20.com/ipl/playerimages/Kamlesh%20Nagarkoti.png?v=4
MuruganAshwin,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler,https://scores.iplt20.com/ipl/playerimages/Murugan%20Ashwin.png?v=4
ChrisWoakes,Capitals,Right hand Bat,Right arm Fast medium,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/314.png
LukmanMeriwala,Capitals,Left hand Bat,Left arm Fast medium,Bowler,
JalajSaxena,Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder,
JhyeRichardson,Punjab Kings,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/59.png
HarbhajanSingh,KKR,Right hand Bat,Right arm Offbreak,Bowler,https://scores.iplt20.com/ipl/playerimages/Harbhajan%20Singh.png?v=4
ViratSingh,Sunrisers,Left hand Bat,Legbreak Googly,Top order Batter,
MujeebUrRahman,Sunrisers,Right hand Bat,Right arm Offbreak,Bowler,
AjinkyaRahane,Capitals,Right hand Bat,Right arm Medium,Top order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/44.png
ShahbazNadeem,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler,
TNatarajan,Sunrisers,Left hand Bat,Left arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/224.png
MarcoJansen,Mumbai,Right hand Bat,Left arm Medium fast,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/586.png
BenStokes,Royals,Left hand Bat,Right arm Fast medium,Allrounder,https://scores.iplt20.com/ipl/playerimages/Ben%20Stokes.png?v=4
ChrisLynn,Mumbai,Right hand Bat,Slow Left arm Orthodox,Batter,
ObedMcCoy,Royals,Left hand Bat,Left arm Fast medium,Bowler,https://scores.iplt20.com/ipl/playerimages/Obed%20McCoy.png?v=4
MatthewWade,Titans,Left hand Bat,Right arm Medium,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/549.png
YashDayal,Titans,Right hand Bat,Left arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/978.png
SaiKishore,Titans,Left hand Bat,Slow Left arm Orthodox,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/544.png
DushmanthaChameera,Super Giants,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/608.png
MohsinKhan,Super Giants,Left hand Bat,Left arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/541.png
AlzarriJoseph,Titans,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/229.png
RomarioShepherd,Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/371.png
JiteshSharma,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/1000.png
PrerakMankad,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/998.png
FazalhaqFarooqi,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1011.png
MitchellMarsh,Capitals,Right hand Bat,Right arm Medium,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/40.png
RovmanPowell,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/329.png
KuldeepYadav,Capitals,Left hand Bat,Left arm Wrist spin,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/14.png
DewaldBrevis,Mumbai,Right hand Bat,Legbreak,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/797.png
TilakVarma,Mumbai,Left hand Bat,Right arm Offbreak,Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/993.png
RamandeepSingh,Mumbai,Right hand Bat,Right arm Medium,Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/991.png
HrithikShokeen,Mumbai,Right hand Bat,Right arm Offbreak,Bowler,https://scores.iplt20.com/ipl/playerimages/Hrithik%20Shokeen.png?v=4
DevonConway,Super Kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2023/601.png
NarayanJagadeesan,Super Kings,Right hand Bat,Not Available,Opening Batter,https://scores.iplt20.com/ipl/playerimages/Jagadeesan%20Narayan.png?v=4
MitchellSantner,Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/75.png
SimarjeetSingh,Super Kings,Right hand Bat,Right arm Medium fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/622.png
MukeshChoudhary,Super Kings,Left hand Bat,Left arm Medium,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/970.png
MatheeshaPathirana,Super Kings,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1014.png
PrashantSolanki,Super Kings,Right hand Bat,Legbreak,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/972.png
AbhijeetTomar,KKR,Right hand Bat,Right arm Offbreak,Opening Batter,https://scores.iplt20.com/ipl/playerimages/Abhijeet%20Tomar.png?v=4
SamBillings,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,https://scores.iplt20.com/ipl/playerimages/Sam%20Billings.png?v=4
RinkuSingh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/152.png
UmeshYadav,KKR,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/21.png
KrishnappaGowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/179.png
TristanStubbs,Mumbai,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/1017.png
SanjayYadav,Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder,
BhanukaRajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter,https://scores.iplt20.com/ipl/playerimages/Bhanuka%20Rajapaksa.png?v=4
RishiDhawan,Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/996.png
AyushBadoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter,https://assets.iplt20.com/ipl/IPLHeadshot2024/985.png
ShashankSingh,Sunrisers,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder,https://assets.iplt20.com/ipl/IPLHeadshot2024/191.png
MaheeshTheekshana,Super Kings,Right hand Bat,Right arm Offbreak,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/629.png
KumarKartikeya,Mumbai,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1015.png
RassievanderDussen,Royals,Right hand Bat,Legbreak,Top order Batter,https://scores.iplt20.com/ipl/playerimages/Rassie%20van%20der%20Dussen.png?v=4
KuldeepSen,Royals,Right hand Bat,Right arm Fast,Bowler,https://assets.iplt20.com/ipl/IPLHeadshot2024/1005.png
KaranSharma,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder,https://scores.iplt20.com/ipl/playerimages/Karan%20Sharma.png?v=4
SheldonJackson,KKR,Right hand Bat,Not Available,Wicketkeeper Batter,https://scores.iplt20.com/ipl/playerimages/Sheldon%20Jackson.png?v=4
BabaIndrajith,KKR,Right hand Bat,Legbreak Googly,Top order Batter,
